"용도별","시점",전가구,전가구
"용도별","시점",양곡계,쌀
"계","1997.11",307.8,277.8
"계","1997.12",305.7,275.3
"계","1998.01",322.9,285.7
"계","1998.02",317.5,266.7
"계","1998.03",311.1,273.1
"계","1998.04",302.6,273.4
"계","1998.05",296.5,270.3
"계","1998.06",302.8,272.4
"계","1998.07",301.4,265.2
"계","1998.08",298.4,264.1
"계","1998.09",298.2,265.6
"계","1998.10",306.2,270.3
"계","1998.11",302.0,267.9
"계","1998.12",300.0,266.5
"계","1999.01",295.8,264.9
"계","1999.02",323.4,282.3
"계","1999.03",308.6,266.7
"계","1999.04",295.3,267.7
"계","1999.05",291.2,266.2
"계","1999.06",291.4,262.2
"계","1999.07",291.4,258.5
"계","1999.08",289.6,256.4
"계","1999.09",302.3,267.8
"계","1999.10",290.0,258.1
"계","1999.11",306.4,262.5
"계","1999.12",302.4,260.3
"계","2000.01",292.0,260.4
"계","2000.02",328.8,285.5
"계","2000.03",285.6,255.9
"계","2000.04",286.8,258.1
"계","2000.05",279.9,253.0
"계","2000.06",285.0,252.7
"계","2000.07",281.5,247.4
"계","2000.08",279.0,243.1
"계","2000.09",291.9,254.4
"계","2000.10",281.8,246.3
"계","2000.11",292.2,249.0
"계","2000.12",290.7,245.6
"계","2001.01",291.6,256.8
"계","2001.02",279.5,245.9
"계","2001.03",269.7,241.1
"계","2001.04",270.6,243.8
"계","2001.05",268.1,241.6
"계","2001.06",272.3,241.4
"계","2001.07",271.0,238.8
"계","2001.08",271.8,236.6
"계","2001.09",281.1,245.0
"계","2001.10",274.1,240.4
"계","2001.11",284.7,242.6
"계","2001.12",280.3,239.3
"계","2002.01",267.3,238.4
"계","2002.02",296.6,257.6
"계","2002.03",265.8,237.2
"계","2002.04",264.7,237.9
"계","2002.05",262.8,235.5
"계","2002.06",267.2,236.2
"계","2002.07",265.3,232.3
"계","2002.08",264.8,231.9
"계","2002.09",277.0,240.6
"계","2002.10",264.8,233.6
"계","2002.11",279.4,237.0
"계","2002.12",272.9,235.5
"계","2003.01",258.6,238.1
"계","2003.02",250.4,230.1
"계","2003.03",239.5,223.1
"계","2003.04",247.1,229.3
"계","2003.05",241.1,224.3
"계","2003.06",244.9,225.0
"계","2003.07",242.6,219.9
"계","2003.08",242.4,220.1
"계","2003.09",251.7,228.3
"계","2003.10",246.6,223.2
"계","2003.11",258.8,227.5
"계","2003.12",252.6,226.2
"계","2004.01",262.1,238.0
"계","2004.02",248.4,225.9
"계","2004.03",240.5,222.7
"계","2004.04",242.4,225.0
"계","2004.05",238.7,221.7
"계","2004.06",242.6,222.9
"계","2004.07",240.9,219.8
"계","2004.08",239.7,218.3
"계","2004.09",251.9,227.5
"계","2004.10",241.4,219.2
"계","2004.11",259.5,224.1
"계","2004.12",253.9,223.6
"계","2005.01",243.9,222.4
"계","2005.02",263.5,238.5
"계","2005.03",239.4,220.8
"계","2005.04",240.4,222.5
"계","2005.05",237.0,220.1
"계","2005.06",239.4,219.3
"계","2005.07",237.7,214.7
"계","2005.08",233.8,212.7
"계","2005.09",244.4,221.2
"계","2005.10",236.8,214.8
"계","2005.11",253.4,219.0
"계","2005.12",246.4,216.9
"계","2006.01",254.8,229.2
"계","2006.02",241.9,219.2
"계","2006.03",235.0,215.4
"계","2006.04",235.6,217.9
"계","2006.05",232.0,216.0
"계","2006.06",233.8,214.6
"계","2006.07",230.6,209.9
"계","2006.08",229.7,208.5
"계","2006.09",231.5,211.2
"계","2006.10",239.3,215.0
"계","2006.11",244.8,213.2
"계","2006.12",243.2,213.4
"계","2007.01",230.9,208.2
"계","2007.02",252.7,228.1
"계","2007.03",228.9,209.0
"계","2007.04",229.4,211.8
"계","2007.05",225.9,209.1
"계","2007.06",229.3,209.7
"계","2007.07",224.5,205.2
"계","2007.08",222.8,203.6
"계","2007.09",232.7,211.5
"계","2007.10",227.3,206.4
"계","2007.11",241.6,211.6
"계","2007.12",237.0,207.8
"계","2008.01",231.8,208.3
"계","2008.02",243.9,219.8
"계","2008.03",224.6,205.5
"계","2008.04",226.6,208.1
"계","2008.05",223.6,206.1
"계","2008.06",226.6,206.2
"계","2008.07",225.2,204.1
"계","2008.08",222.2,202.0
"계","2008.09",233.2,209.4
"계","2008.10",226.2,203.2
"계","2008.11",235.6,205.4
"계","2008.12",232.5,204.8
"계","2009.01",239.7,215.0
"계","2009.02",230.7,204.9
"계","2009.03",223.8,202.8
"계","2009.04",222.2,204.1
"계","2009.05",219.8,201.9
"계","2009.06",221.7,201.4
"계","2009.07",220.2,198.5
"계","2009.08",218.2,196.2
"계","2009.09",222.4,200.3
"계","2009.10",224.9,200.3
"계","2009.11",231.8,200.3
"계","2009.12",232.4,200.8
"계","2010.01",222.8,199.0
"계","2010.02",245.7,218.7
"계","2010.03",219.3,198.5
"계","2010.04",221.8,201.3
"계","2010.05",218.5,200.0
"계","2010.06",219.4,199.1
"계","2010.07",215.9,194.2
"계","2010.08",212.4,191.4
"계","2010.09",220.7,198.1
"계","2010.10",213.9,193.7
"계","2010.11",223.1,197.4
"계","2010.12",221.9,196.7
"계","2011.01",225.1,203.5
"계","2011.02",223.9,202.3
"계","2011.03",213.0,194.8
"계","2011.04",215.3,197.6
"계","2011.05",210.7,194.7
"계","2011.06",213.0,194.2
"계","2011.07",209.3,189.7
"계","2011.08",206.2,186.6
"계","2011.09",215.1,194.1
"계","2011.10",209.2,188.7
"계","2011.11",221.9,193.4
"계","2011.12",218.8,191.5
"계","2012.01",224.2,203.3
"계","2012.02",211.1,192.0
"계","2012.03",208.4,190.8
"계","2012.04",208.9,192.4
"계","2012.05",205.9,191.0
"계","2012.06",208.3,190.7
"계","2012.07",205.9,187.1
"계","2012.08",203.3,184.4
"계","2012.09",212.7,191.3
"계","2012.10",205.5,186.1
"계","2012.11",217.0,187.7
"계","2012.12",213.1,185.3
"계","2013.01",209.7,186.3
"계","2013.02",223.3,198.7
"계","2013.03",203.7,183.9
"계","2013.04",205.1,186.4
"계","2013.05",201.8,184.3
"계","2013.06",202.5,182.3
"계","2013.07",198.3,177.6
"계","2013.08",195.3,175.2
"계","2013.09",203.0,180.7
"계","2013.10",204.4,179.5
"계","2013.11",213.4,180.8
"계","2013.12",213.8,180.6
"계","2014.01",215.0,188.7
"계","2014.02",206.5,182.1
"계","2014.03",199.9,178.4
"계","2014.04",198.7,179.1
"계","2014.05",195.1,177.0
"계","2014.06",198.2,177.5
"계","2014.07",196.0,174.0
"계","2014.08",194.1,172.3
"계","2014.09",198.0,175.3
"계","2014.10",196.8,172.9
"계","2014.11",205.4,173.9
"계","2014.12",208.0,175.6
"계","2015.01",198.4,172.3
"계","2015.02",212.9,186.5
"계","2015.03",193.6,171.8
"계","2015.04",196.0,174.4
"계","2015.05",191.0,171.8
"계","2015.06",193.6,171.7
"계","2015.07",188.9,166.9
"계","2015.08",187.9,165.8
"계","2015.09",192.2,169.9
"계","2015.10",190.6,168.0
"계","2015.11",207.5,173.9
"계","2015.12",206.1,169.3
"계","2016.01",197.3,169.0
"계","2016.02",210.9,181.3
"계","2016.03",191.1,169.0
"계","2016.04",194.6,173.9
"계","2016.05",188.7,169.1
"계","2016.06",190.4,168.7
"계","2016.07",187.3,164.4
"계","2016.08",184.7,162.9
"계","2016.09",192.8,168.3
"계","2016.10",190.1,165.4
"계","2016.11",195.5,168.4
"계","2016.12",194.5,168.4
"계","2017.01",203.2,174.8
"계","2017.02",214.9,183.9
"계","2017.03",192.6,168.4
"계","2017.04",192.7,171.6
"계","2017.05",196.4,172.8
"계","2017.06",192.1,166.0
"계","2017.07",183.6,159.7
"계","2017.08",186.2,163.6
"계","2017.09",189.1,166.9
"계","2017.10",190.5,167.1
"계","2017.11",196.6,170.2
"계","2017.12",198.1,170.3
"계","2018.01",183.7,159.9
"계","2018.02",196.8,173.9
"계","2018.03",184.0,164.5
"계","2018.04",195.9,177.6
"계","2018.05",185.4,166.6
"계","2018.06",192.0,165.6
"계","2018.07",188.5,162.9
"계","2018.08",187.8,165.2
"계","2018.09",186.4,165.0
"계","2018.10",188.7,165.4
"계","2018.11",197.1,170.4
"계","2018.12",195.5,166.9
"계","2019.01",188.5,167.7
"계","2019.02",194.5,171.4
"계","2019.03",181.6,162.2
"계","2019.04",180.6,162.9
"계","2019.05",178.8,160.5
"계","2019.06",183.5,162.0
"계","2019.07",180.8,157.2
"계","2019.08",176.1,153.9
"계","2019.09",179.3,156.3
"계","2019.10",178.6,153.6
"계","2019.11",190.1,159.8
"계","2019.12",184.2,158.5
"계","2020.01",186.0,161.7
"계","2020.02",183.0,160.2
"계","2020.03",181.1,159.1
"계","2020.04",185.8,163.6
"계","2020.05",178.4,158.3
"계","2020.06",178.5,157.2
"계","2020.07",177.7,154.6
"계","2020.08",175.6,152.8
"계","2020.09",181.3,156.0
"계","2020.10",179.0,154.5
"계","2020.11",186.8,160.5
"계","2020.12",186.4,158.3
"계","2021.01",184.2,160.1
"계","2021.02",191.2,166.7
"계","2021.03",182.4,160.9
"계","2021.04",181.2,160.4
"계","2021.05",171.6,152.2
"계","2021.06",173.0,151.7
"계","2021.07",169.8,149.4
"계","2021.08",169.3,148.9
"계","2021.09",172.8,152.6
"계","2021.10",169.7,148.3
"계","2021.11",181.7,156.4
"계","2021.12",180.7,156.4
"계","2022.01",184.1,160.5
"계","2022.02",183.9,160.6
"계","2022.03",178.0,155.4
"계","2022.04",180.9,158.8
"계","2022.05",173.7,154.1
"계","2022.06",176.4,154.8
"계","2022.07",170.3,150.7
"계","2022.08",170.7,151.8
"계","2022.09",174.0,153.7
"계","2022.10",173.0,152.4
